Title,Author,ISBN Valid,Publisher,Subjects,i
Vietnam /,,9782816186420; 2816186423,Lonely planet,Angkor (ville ancienne); Vietnam; Guides touristiques et de visite,1063
Bêtes de sexe : la diversité amoureuse des humains et des autres animaux /,"Giraud, Marc",9782603028735; 2603028731,Delachaux & Niestlé,Comportement sexuel des animaux; Sexualité; Vie sexuelle,1064
Vietnam,,9782067261044; 2067261045,Michelin,Vietnam; Guides touristiques et de visite,1065
"Le grand livre de la gastronomie : chefs, techniques, recettes, conseils /","Boué, Vincent",9782080412768; 2080412760,Flammarion,Livres de cuisine,1066
Franche-Comté : montagnes du Jura,,9782067256828; 2067256823,Michelin,Franche-Comté (France); Jura (chaîne); Guides touristiques et de visite,1067
Bourgogne : 2023-2024 /,"Gloaguen, Philippe 1951-....",9782017188261; 2017188263,Hachette,Bourgogne (France).; Guides touristiques et de visite.,1068
Désert solitaire /,"Abbey, Edward, 1927-1989",9782351780381; 2351780388,Gallmeister,"désert--environnement - dégradation--Utah (Etats-Unis, état) - sud-est",1069
Bien vivre son éco-anxiété : prendre soin de soi pour prendre soin du monde /,"Sutter, Pierre-Eric",9791039704120,Gereso,Anxiety; Anxiety Disorders; Climate Change; Éco-anxiété; Guides pratiques,1070
Les insolents /,"Scott, Ann 1965-....",9782702180761; 2702180760,Calmann-Lévy,Roman français; Solitude,1071
Le Roi des gyôzas /,"Hiramatsu, Yōko 1958-....",9782809716382; 2809716382,Editions Philippe Picquier,,1072
"Sauces & Cie : recettes originales : 100 sauces savoureuses, 50 plats en sauce /","Drouet, Valéry",9791040111108,La Martinière,,1073
Le livre perdu /,"Wyss, Nathalie",9782940673315; 2940673314,Helvetiq,Livres; Livres d'images,1074
Aux confins de la Suisse : 36 lieux le long de la frontière /,"Grossenbacher, Fabrice, 1987-....",9782828920692; 2828920690,Editions Favre,Frontières--Suisse; Guides touristiques et de visite,1075
Lacs italiens et Milan : 2024-2025,,9782017249788; 2017249785,Hachette,"Lacs; Milan (Italie); Lombardie (Italie); Orta (Italie, lac, région); Lago Maggiore (région); Côme (Italie, lac, région); Garde (Italie, lac, région); Lago di Lugano (région); Iseo (Italie, lac, région); [Guides touristiques et de visite]",1076
Bourgogne,,9782067257481; 206725748X,Michelin,Bourgogne (France); Guides touristiques et de visite,1077
Fahrenheit 451 /,"Bradbury, Ray, 1920-2012",2070415732; 9782070415731,Gallimard,,1078
"Angleterre, Pays de Galles",,9782067257795; 206725779X,Michelin,Angleterre (Grande-Bretagne); Pays de Galles (Grande-Bretagne); Guides touristiques et de visite,1079
Lyon et ses environs : 2023-2024,,9782017218197; 2017218197,Hachette Livre,Lyon (France); Guides touristiques et de visite,1080
Suisse : 2024-2025 /,,9782017250043; 201725004X,Hachette Tourisme,Guides touristiques et de visite; Suisse,1081
Junior : un nouvel ami /,"Nkashama, Belotie, 19..-",9782970143918; 2970143917,Beth Story,,1082
Jardiner sans arroser (ou presque) : les conseils et les plantes pour un beau jardin résistant à la sécheresse /,"Payens, Nathalie",9782263183119; 2263183116,Solar,Jardins secs,1083
Revolusi : l'Indonésie et la naissance du monde moderne /,"Van Reybrouck, David Grégoire 1971-....",9782330169046; 2330169043,Actes Sud,Autonomie--Indonésie; Souveraineté--Indonésie; Indonésie--Histoire,1084
Portugal : 2024-2025,,9782017888062; 2017888060,Hachette Tourisme,Guides touristiques et de visite; Portugal,1085
Canaries : + randonnées et plongées : 2024-2025,,9782017262657; 201726265X,Hachette Livre,Canaries (Espagne); [Guides touristiques et de visite],1086
La bombe /,"Alcante, 1970-",9782344020630; 2344020632,Glénat,Bombe atomique--Hiroshima (Japon)--1945 (Bombardement)--Bandes dessinées; Guerre mondiale (1939-1945)--Hiroshima (Japon)--1945 (Bombardement)--Bandes dessinées; Bandes dessinées,1087
"Petite histoire des couleurs : chefs-d'oeuvre, symbolique, matériaux /","Viéville, Camille 1980-....",9782080279361; 208027936X,Flammarion,Couleur (art)--Histoire; Couleur (art)--Aspect symbolique,1088
Les plus belles bibliothèques du monde /,"Strauss, Marianne Julia",9782376714279; 2376714273,Die Gestalten Verlag; E/P/A,Bibliothèques; Bibliothèques (constructions),1089
Madame Bovary /,"Bardet, Daniel",9782344059203; 2344059202,Glénat,"Flaubert, Gustave.--""Madame Bovary""; Bandes dessinées",1090
Les 5 regrets des personnes en fin de vie /,"Ware, Bronnie",9782813206053; 2813206059,G Trédaniel,Regret; Fin de vie; [Récits personnels],1091
Les Misérables /,"Bardet, Daniel",9782344043486; 2344043489; 2344043470; 9782344043479,Glénat,"Hugo, Victor.--""Les misérables""; Bandes dessinées",1092
Feng Shui /,"Ancenay, Magali",9782019466794; 2019466791,Hachette,Feng shui,1093
L'étrange défaite : témoignage écrit en 1940 /,"Bloch, Marc, 1886-1944",9782070325696; 2070325695,Gallimard,,1094
Retour à Reims /,"Eribon, Didier",2081396009; 9782081396005,Flammarion,"Eribon, Didier,--(1953- ...)--Autobiographie; Eribon, Didier,--1953---Entretiens.; Individu et société; Analyse institutionnelle; Individu et société.; Analyse institutionnelle.",1095
"Lot, Aveyron, Vallée du Tarn",,9782067257344; 206725734X,Michelin,"Lot (France, vallée); Aveyron (France, dpt); Tarn (France, dpt); Guides touristiques et de visite",1096
Une île pour elle /,"Muis, Anne-Solange 1979-....",2752913400; 9782752913401,Phébus,,1097
Espagne Atlantique,,9782067256866; 2067256866,Michelin,"Littoraux--Espagne; Atlantique, Côte de l' (Espagne); Guides touristiques et de visite",1098
Les 100 derniers jours d'Hitler /,"Pécau, Jean-Pierre",9782413046790; 2413046798,Delcourt,Bandes dessinées,1099
Paris-Briançon : roman /,"Besson, Philippe",9782260054641; 2260054641,Juillard,,1100
Horizons climatiques : rencontre avec 9 scientifiques du GIEC /,"Dion, Iris-Amata 1992-....",2344058583; 9782344058589,Glénat,Bandes dessinées documentaires; Changement global de l'environnement; Environnement--Protection; Changements climatiques; Réchauffement de la Terre; Groupe d'experts intergouvernemental sur l'évolution du climat; Décroissance soutenable; Bandes dessinées,1101
Vos droits au travail : le guide juridique des salariées et salariés /,"Amiguet, Catherine, juriste",9783909676798; 3909676790,Editions Plus Sàrl,Droit du travail--Suisse; Contrat de travail--Suisse; Guides pratiques,1102
"Côte d'Azur : Var, Alpes-Maritimes : 2024-2025 /",,9782017262718; 2017262714,Hachette,"Côte d'Azur (France); Alpes-Maritimes (France, dpt); Var (France, dpt); Guides touristiques et de visite",1103
1984 /,"Coste, Xavier, 1989-",9782377315116; 2377315119,Sarbacane,Bandes dessinées de science-fiction; [Bandes dessinées]; [Livres animés],1104
J'arrête de travailler ! : les clés du frugalisme /,"Enders, Gisela",9782364291300; 2364291305,Yves Michel,Autosuffisance; Préretraite; [Récits personnels],1105
L'invention du travail /,"Pétré-Grenouilleau, Olivier 1962-....",9782204143455; 2204143456,Les éditions du Cerf,Travail--Histoire.; Travail--Dans les représentations sociales.,1106
"Les jeux Olympiques de 1924 à 2024 : impacts, retombées économiques et héritage /",,9791090293410,L'Harmattan; Éditions Campus ouvert,Jeux olympiques--Aspect économique--20e siècle; Jeux olympiques--Coût; Jeux olympiques--Aspect social--20e siècle,1107
Masculinités : enjeux sociaux de l'hégémonie /,"Connell, Raewyn, 1944-",9782354801397; 2354801394,Amsterdam,Masculinité; Études sur le genre; Hommes; Santé; Hégémonie; Sciences sociales,1108
La Suisse et les étrangers : immigration et formation nationale (1848-1933) /,"Arlettaz, Gérald 1948-2008",9782940146468; 2940146462,Société d'histoire de la Suisse romande; Ed Antipodes,immigration--Suisse--1848 / 1933; politique migratoire--Suisse--19e s. (2e moitié) / 20e s. (1ère moitié)--1848 / 1933; Émigration et immigration; Politique publique; 19e siècle (2e moitié)-20e siècle (1re moitié); Ausländer; Ausländerpolitik; Geschichte; Integration; Suisse; Schweiz,1109
Deux siècles de présence russe en Pays de Vaud : actes du colloque du 11 juin 2011 /,,9782832104972; 2832104975,Slatkine,Russe (peuple)--Vaud (Suisse)--18e s. / 20e s.--[congrès]; Russe à l'étranger (peuple)--Vaud (Suisse)--18e s. / 20e s.--[congrès]; Russes; Relations; 18e siècle-20e siècle; Russie--Vaud (Suisse)--18e s. / 20e s.--[congrès]; Vaud (Suisse); Russie; [Actes de congrès],1110
"Entre communisme et frontisme : la défense de l'ordre public dans le Canton de Vaud, 1932-1939 /","Graa, Numa 1984-....",9782884541459; 2884541454,Bibliothèque historique vaudoise,Communisme--Suisse--Vaud (Suisse)--1900-1945; Politique et gouvernement--Vaud (Suisse)--1900-1945; Fascisme--Suisse--Vaud (Suisse)--1900-1945; Ordre public--Suisse--Vaud (Suisse)--1900-1945; Thèses et écrits académiques,1111
Belgique : 2023-2024,,9782017218135; 2017218138,Hachette,Belgique; [Guides touristiques et de visite],1112
Quand la musique fait l'histoire /,"Daccord, Hélène 19..-....",9782379338038; 2379338035,Passés Composés,Musique et histoire; Musique et politique,1113
Lieux de pèlerinage : la Suisse entre ciel et terre /,"Hugger, Paul",9782880748234; 2880748232,Presses polytechniques et universitaires romandes,lieu de pèlerinage--Suisse,1114
Histoire de la vie privée /,,202009455X; 9782020094559,Seuil,vie privée--1789 / 1914,1115
Les sociétés d'étudiants : une contribution à l'histoire de la Suisse /,,9782889155590; 2889155595,PPUR Presses polytechniques et universitaires romandes,"Étudiants--Associations--Suisse--1800-....; Société de Zofingue (Suisse); Helvétia (société d'étudiants, Suisse)",1116
Des palmes académiques pour Benito Mussolini : le doctorat honoris causa de l'Université de Lausanne décerné au Duce en 1937 : une interprétation /,"Lambelet, Jean-Christian",282511846X; 9782825118467,L'Age d'Homme,"Mussolini, Benito--Université de Lausanne--1937; doctorat ""honoris causa""--Mussolini, Benito--Université de Lausanne. Faculté des sciences sociales et politiques--1937",1117
Frontières : le traité de Lausanne 1923-2023 /,,9782889012442; 2889012441,Musée historique de Lausanne; Éditions Antipodes,Illustrations; Guerre mondiale (1914-1918)--Traités; Guerre mondiale (1914-1918)--Questions territoriales; Traité de Lausanne--(1923); Catalogues d'exposition,1118
Le diable au sabbat : littérature démonologique et sorcellerie (1440-1460) /,"Ostorero, Martine",9788884504029; 8884504023,SISMEL - Ed del Galluzzo,Sorcellerie--Europe--15e siècle; Démonologie--traité (ouvrage)--Europe--Moyen âge,1119
Le sabbat des sorcières /,"Ginzburg, Carlo",2070727416; 9782070727414,Gallimard,sorcellerie--Europe--15e s. / 17e s.; rite--sabbat--sorcier--sorcière,1120
"Demon lovers : witchcraft, sex and the crisis of belief /","Stephens, Walter",0226772616; 9780226772615,The University of Chicago Press,sexualité--sorcellerie--Europe--1430 / 1530,1121
Penser avec les démons : démonologues et démonologies (XIIIe-XVIIe siècles) /,,9788884506566; 8884506565,SISMEL - Ed del Galluzzo,Démonologie; 13e siècle-17e siècle; Actes de congrès,1122
Histoire des émotions /,,9782021177299; 2021177297; 9782021177374; 2021177378; 202117736X; 9782021177367,Éditions du Seuil,Emotions--History; Émotions--Histoire,1123
Le sabbat des sorcières /,"Ginzburg, Carlo",2070727416; 9782070727414,Gallimard,sorcellerie--Europe--15e s. / 17e s.; rite--sabbat--sorcier--sorcière,1124
"En attendant le prince charmant : l'éducation des jeunes filles à Genève, 1740-1970 /",,2884570012; 9782884570015,Musée d'ethnographie; Service de la recherche en éducation,"Gourd, Emilie; éducation--jeune fille--Genève (Suisse, canton)--1740 / 1970--[catalogue d'exposition]; enseignement--jeune fille--Genève (Suisse, canton)--1740 / 1970--[catalogue d'exposition]",1125
Le mariage en Occident : les moeurs et le droit /,"Gaudemet, Jean",2204026654; 9782204026659,Cerf,droit du mariage--Europe occidentale--Antiquité / 20e s.; mariage--* théologie--Europe occidentale--Antiquité / 20e s.; droit du mariage--* droit comparé--1er s. / 20e s.--[manuel],1126
Histoire des femmes en Occident /,,2259023843; 9782259023849,Plon,Femmes--Histoire; femme--occident--16e s. / 18e s.--[études diverses]; 16e siècle-18e siècle; Occident; [Études diverses],1127
"Troubles de l'attention avec ou sans hyperactivité (TDAH) : concrètement, que faire? : outils pratiques et aménagements pédagogiques à mettre en place par les enseignants et tous ceux qui accompagnent l'enfant dans sa réussite scolaire /","Gramond, Anne, docteur",9782353451623; 2353451624,Tom pousse,Enfants atteints de troubles de l'attention; Réussite scolaire; Enfants en difficulté d'apprentissage,1128
100 idées pour enseigner les habiletés sociales /,"Liratni, Mehdi",9782353452231; 235345223X,Tom Pousse,Socialisation; Compétences sociales--Chez l'enfant; Autisme infantile; Trouble autistique.; Compétences sociales.; Enfants autistes--Communication; Enfants autistes--Intégration sociale,1129
Escape games : 9 enquêtes pédagogiques : CP-CE-CM : pour réinventer ses connaissances et exercer sa logique /,"Masset-Tonda, Karine",9782350583587; 2350583589,La Classe,Enseignement primaire; Jeux d'évasion; Séquence pédagogique,1130
Mathématiques : équations de droites et de cercles en géométrie : BAC-CH 3 /,"Bossel, Jean-Claude",9782606018528; 2606018524,LEP Loisirs et pédagogie,Mathématiques; Manuels d'enseignement secondaire,1131
So geht's noch besser neu : A2-B1 : Fertigkeitentrainer für das Goethe-/ ÖSD-Zertifikat B1 /,"Fischer-Mitziviris, Anni",9783126758567; 3126758568; 9783126758574; 3126758576,Ernst Klett Sprachen,Allemand (langue); Manuels pour allophones,1132
Advanced language practice : English grammar and vocabulary /,"Vince, Michael",1405007621; 9781405007627,Macmillan,anglais (langue)--langue étrangère--[manuel],1133
Des difficultés scolaires aux ressources de l'école : un modèle de consultation systémique pour psychologues et enseignants /,"Curonici, Chiara",9782807331167; 2807331165,De Boeck Supérieur,Relations maître-élève; Psychologie scolaire; Enfants en difficulté d'apprentissage; Adolescents en difficulté d'apprentissage; Troubles de l'apprentissage,1134
Droit bancaire suisse /,"Lombardini, Carlo juriste",9783725556380; 3725556385,Schulthess,droit bancaire--Suisse--[manuel]; Bankenaufsicht; Bankgeheimnis; Geldwäscherei; Rechtshilfe in Strafsachen; international; Bankenrecht; Rechtsvergleichung; Gemeinschaftsrecht; Schweiz; Grundlagenwerk,1135
Droit administratif /,"Moor, Pierre, 1940-",9783727223631; 3727223634,Stämpfli,acte administratif--Suisse--[manuel]; acte administratif - contrôle--Suisse--[manuel]; activité administrative--* droit--Suisse--[manuel]; Droit administratif; Actes administratifs; Contrôle juridictionnel de l'administration; Contrats administratifs; Staatsorganisation und Verwaltung; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Grundlagenwerk,1136
